time,exp5b_pdps_imu-Clip__exp5b_audio-L,exp5b_pdps_imu-Clip__exp5b_mpipe-L,exp5b_pdps_imu-Clip__exp5b_audio-R,exp5b_pdps_imu-Clip__exp5b_mpipe-R,exp5b_audio-L__exp5b_mpipe-L,exp5b_audio-L__exp5b_audio-R,exp5b_audio-L__exp5b_mpipe-R,exp5b_mpipe-L__exp5b_audio-R,exp5b_mpipe-L__exp5b_mpipe-R,exp5b_audio-R__exp5b_mpipe-R
95.0,,,,,0.08574920905211814,0.07854538403900856,0.08602875396826794,0.4999488433522515,0.9804294909981899,0.4999411486556522
95.5,,,,,0.013218118789169368,0.019486010824844777,0.013340431741820636,0.49988387016071406,0.9802340523601237,0.4998935323209507
96.0,,,,,0.08596489033897457,0.11714059683286109,0.08612661676621125,0.4985817482627389,0.980038894599121,0.4986219484637375
96.5,,,,,0.03527105824927907,0.24602349321635147,0.03529529343900285,0.2952690307214532,0.9798440585171783,0.2955018438007571
97.0,,,,,0.06711208780986425,0.32630207191136107,0.06696462574522105,0.09314981557630261,0.9796495852754394,0.09327460395964862
97.5,,,,,0.2085058522773537,0.2785208118318301,0.20827586890007002,0.08470706546004998,0.9794555163859723,0.08466410096316404
98.0,,,,,0.45650102840192436,0.24969957191426245,0.45668928753221166,0.15029633077198828,0.9792618937033818,0.15023674959848288
98.5,,,,,0.3741827389203685,0.24699853358455662,0.3738018485807734,0.36297039493071337,0.9790687594162608,0.36298749189232465
99.0,,,,,0.4630051009532355,0.2537933381110843,0.4627729923346835,0.3796695186517198,0.97887615603847,0.37954170362056106
99.5,,,,,0.4893599981081395,0.2333931734165878,0.48923523679922415,0.4493345003061727,0.9786841264002576,0.44912483167386785
100.0,0.5736667146225026,0.5028128415820027,0.4898625831954386,0.5028575352080743,0.4980960156424064,0.4443873039741696,0.4980565796130736,0.4857666954233947,0.9784927136392265,0.4857090651045926
100.5,0.20856386455323117,0.49971155250689997,0.17482407718183032,0.4996875563091508,0.49868498896939517,0.4870005653805728,0.49868923814255206,0.4060053222111886,0.9783019611911409,0.40625606944040255
101.0,0.13747096983918808,0.4998192035869638,0.10846551042553475,0.49981956344165435,0.13483645087035806,0.18597866657145107,0.13527332430126868,0.19292963432001117,0.9781119127805826,0.192601324983222
101.5,0.11474957434055641,0.497159942456769,0.08143219016620798,0.4972237645750261,0.1488290401926815,0.2969301454096262,0.15050671845780828,0.08436613390028871,0.9779226124114588,0.08435428209355678
102.0,0.15110682300655756,0.4626073391117932,0.15737218971722974,0.4628767938275992,0.1420465338109827,0.3121321255423471,0.14233212929166944,0.1419318305014902,0.9777341043573604,0.14197969239118993
102.5,0.17225155771324713,0.16369711059233535,0.3275708070501552,0.16419484428662995,0.3222665873799389,0.32951092450578573,0.3280848378236536,0.3376418950443407,0.9775464331517794,0.34637730021753355
103.0,0.43487261816268186,0.013924282859597036,0.40714874640627546,0.014096114690581618,0.1504178059372158,0.4768492522505957,0.15195324390027132,0.1818711729912983,0.9773596435781836,0.18421538605267004
103.5,0.2732910589028916,0.0009487534912062294,0.40964001428514774,0.0009828260226598007,0.24457580815790328,0.36997511857997856,0.24782392341386,0.2078340691990466,0.977173780659959,0.21161932106057585
104.0,0.4010656112377397,0.00019310262944105856,0.37892151436343025,0.0001763196182824983,0.5531146832705249,0.5140542278681522,0.5692300788067662,0.5722769446393782,0.9769888896502135,0.5612657205044023
104.5,0.3469473192060364,0.00038396069135535776,0.0003696831082483445,0.0003511137514729654,0.41836707398980827,0.4038761216963782,0.43478125914708665,0.9803603488787594,0.9768050160214512,0.9580770011413655
105.0,,,,,0.4166638124502451,0.4020946757975621,0.43317895410311835,0.9801786895533399,0.9766222054551199,0.9577282059548737
105.5,,,,,0.41495516410485234,0.40030872917228694,0.43156813915197145,0.9799963397430906,0.9764405038310343,0.9573799498707549
106.0,,,,,0.4132419233875856,0.3985190620649439,0.4299496450268099,0.979813305875449,0.9762599572166812,0.957032282750514
106.5,,,,,0.41152489554249916,0.3967264642389642,0.4283243130798735,0.9796295944835787,0.9760806118563985,0.9566852546395288
107.0,,,,,0.4098048958247704,0.39493173417184935,0.42669299463101495,0.9794452122062853,0.97590251416045,0.9563389157554503
107.5,,,,,0.40808274868837213,0.39313567823992135,0.42505655028549594,0.979260165787882,0.975725710693987,0.9559933164765542
108.0,,,,,0.4063592869624085,0.3913391098936675,0.42341584922422915,0.979074462078066,0.9755502481658969,0.9556485073299664
108.5,,,,,0.404635351018162,0.38954284882648704,0.4217717684696062,0.9788881080317664,0.9753761734175561,0.955304538979838
109.0,,,,,0.40291178792879123,0.3877477201386217,0.4201251921299489,0.9787011107089677,0.9752035334114763,0.954961462215461
109.5,,,,,0.4011894506237401,0.38595455349789015,0.41847701062557285,0.9785134772745232,0.9750323752198546,0.9546193279392969
110.0,,,,,0.39946919703989536,0.3841641822990951,0.4168281198993267,0.9783252149979709,0.9748627460130342,0.9542781871549053
110.5,,,,,0.39775188927140215,0.38237744282473063,0.4151794206144394,0.9781363312533083,0.9746946930478682,0.9539380909548536
111.0,,,,,0.3960383927202153,0.3805951734088845,0.4135318173424181,0.9779468335187358,0.9745282636559996,0.95359909050862
111.5,,,,,0.3943295752492928,0.37881821360486223,0.41188621774362655,0.9777567293764262,0.9743635052320629,0.9532612370503275
112.0,,,,,0.39262630634029905,0.37704740335960296,0.4102435317431572,0.9775660265122672,0.9742004652217884,0.9529245818664469
112.5,,,,,0.3909294562578103,0.37528358219746016,0.40860467070445294,0.9773747327155391,0.9740391911100502,0.9525891762836038
113.0,,,,,0.38923989522173563,0.3735275884128043,0.4069705466031276,0.9771828558786331,0.9738797304088257,0.9522550716561697
113.5,,,,,0.3875584925897435,0.3717802582745948,0.4053420712032543,0.9769904039967447,0.9737221306450831,0.9519223193538345
114.0,,,,,0.3858861160514612,0.3700424252452246,0.4037201552383857,0.9767973851675058,0.9735664393486133,0.951590970749284
114.5,,,,,0.3842236308360186,0.3683149192132489,0.4021057075994221,0.9766038075906547,0.9734127040397861,0.9512610772056797
115.0,,,,,0.38257189893447285,0.3665985657430813,0.4004996345313434,0.9764096795676573,0.9732609722172425,0.950932690064199
115.5,,,,,0.3809317783386894,0.3648941853424674,0.3989028388407559,0.9762150095013158,0.9731112913455352,0.9506058606315462
116.0,,,,,0.3793041222979775,0.36320259274894817,0.3973162191160596,0.9760198058953689,0.9729637088427021,0.9502806401674218
116.5,,,,,0.5123762379271477,0.36152459623653405,0.3957406689619496,0.8222770521409049,0.8189560956903054,0.9499570798719419
117.0,,,,,0.5718282788930874,0.35986099694428114,0.39417707624986564,0.9003633880377913,0.9136645571033346,0.9496352308731357
117.5,,,,,0.5797992956523624,0.35821258822707414,0.3926263223858648,0.8268387291485222,0.8576686353085032,0.9493151442143799
118.0,,,,,0.6638873316990308,0.3565801550294483,0.39108928159729894,0.6684309071111056,0.7046530386113311,0.9489968708417196
118.5,,,,,0.6463826021455692,0.35496447328435876,0.3895668202395579,0.519653792523304,0.560345575038218,0.9486804615913518
119.0,,,,,0.5969511170076185,0.3533663093365893,0.38805979612400154,0.5951489831201261,0.6234673635520576,0.9483659671770306
119.5,,,,,0.6350177909760474,0.3517864193915454,0.38656905786811463,0.4996040606804064,0.5168020992422516,0.9480534381774042
120.0,,,,,0.447085389736938,0.35022554899051417,0.3850954442687856,0.7650674897267038,0.7931256813979952,0.9477429250234495
120.5,,,,,0.6684493350523459,0.3486844325120726,0.7516271973732724,0.5973700459173591,0.8377516054435669,0.5759782608967557
121.0,,,,,0.6646466792196027,0.34716379270072506,0.5664017370492543,0.5886141463146747,0.6305555704344546,0.5297328389598989
121.5,,,,,0.6610989336428181,0.34566434022211057,0.5428561983953104,0.579665565743584,0.4425347357634739,0.6282522655115999
122.0,,,,,0.6577443894338864,0.34418677324584607,0.6200465375639722,0.570597123361325,0.7376070782107997,0.7368301207567327
122.5,,,,,0.6545259111359656,0.3427317770550316,0.6033115622843699,0.5614788235353085,0.6933705964743128,0.6639753413395036
123.0,,,,,0.8040943840696324,0.34130002368287804,0.5631953914395402,0.46299987318109226,0.4935854659635458,0.5961046409105781
123.5,,,,,0.6092998379727705,0.33989217157658125,0.6403677983119908,0.5269098587727985,0.5425557468108815,0.5945316061913242
124.0,,,,,0.6105476275174295,0.3385088652873818,0.5672555541410048,0.6010012832975988,0.5337596426038178,0.7823319717538266
124.5,,,,,0.5721336780773982,0.3371507351867691,0.6170213952328711,0.6223907298905118,0.6271055604715832,0.8359552481140007
125.0,,,,,0.6259768006972821,0.33581839720867335,0.5558909820046387,0.5547188896246469,0.5529474764835227,0.8703795948127101
125.5,,,,,0.8020279304212449,0.33451245261685814,0.5885115002338396,0.421467671984885,0.7994427370864621,0.641136211832354
126.0,,,,,0.7992108248898633,0.33323348779662687,0.55704576443912,0.4146382361617321,0.4986316065497407,0.5277877178385977
